"LLAVEHOG","LLAVEVIV","P2_8","FOLIO","VIV_SEL","HOGAR","EST_DIS","UPM_DIS","FAC_HOG"
"10282041","1028204","02","10282","04","1","128","01495",2148
"10283011","1028301","01","10283","01","1","015","00153",768
"10284031","1028403","00","10284","03","1","050","00693",3642
"10285021","1028502","00","10285","02","1","054","00808",1307
"10286131","1028613","03","10286","13","1","063","00887",2678
"10287051","1028705","01","10287","05","1","051","00766",1365
"10288071","1028807","00","10288","07","1","070","00932",2540
"10289031","1028903","00","10289","03","1","162","01890",1631
"10290031","1029003","02","10290","03","1","050","00743",2710
"10291041","1029104","02","10291","04","1","163","01931",1766
"10292021","1029202","03","10292","02","1","085","01029",15501
"10293011","1029301","03","10293","01","1","034","00400",875
"10294031","1029403","02","10294","03","1","113","01390",3214
"10295081","1029508","01","10295","08","1","117","01412",4714
"10296021","1029602","00","10296","02","1","083","01024",5447
"10297031","1029703","01","10297","03","1","170","02015",1223
"10298011","1029801","03","10298","01","1","083","01023",11415
"10299181","1029918","01","10299","18","1","160","01848",1343
"10300011","1030001","01","10300","01","1","030","00365",1327
"10301011","1030101","02","10301","01","1","072","00943",2474
"10302121","1030212","02","10302","12","1","125","01465",3729
"10303051","1030305","02","10303","05","1","184","02131",2562
"10304181","1030418","00","10304","18","1","013","00147",488
"10305011","1030501","01","10305","01","1","056","00830",5624
"10306061","1030606","01","10306","06","1","105","01253",2656
"10307051","1030705","02","10307","05","1","010","00101",3178
"10308201","1030820","01","10308","20","1","028","00277",1380
"10309021","1030902","01","10309","02","1","139","01634",1295
"10309022","1030902","01","10309","02","2","139","01634",1295
"10310111","1031011","02","10310","11","1","014","00149",796
"10311061","1031106","01","10311","06","1","137","01599",1009
"10312021","1031202","02","10312","02","1","044","00513",2427
"10313041","1031304","02","10313","04","1","004","00021",1259
"10314021","1031402","02","10314","02","1","139","01621",1407
"10315051","1031505","01","10315","05","1","107","01311",3189
"10316021","1031602","01","10316","02","1","091","01123",4162
"10317031","1031703","02","10317","03","1","035","00426",769
"10318151","1031815","01","10318","15","1","056","00832",4770
"10319061","1031906","01","10319","06","1","068","00927",1392
"10320041","1032004","01","10320","04","1","107","01306",3229
"10321051","1032105","01","10321","05","1","175","02062",5212
"10322011","1032201","01","10322","01","1","108","01333",3295
"10323031","1032303","01","10323","03","1","189","02160",1184
"10324191","1032419","01","10324","19","1","143","01678",2442
"10325031","1032503","03","10325","03","1","097","01168",1667
"10326031","1032603","01","10326","03","1","127","01492",1817
"10327171","1032717","02","10327","17","1","160","01847",1348
