LLAVESDE,LLAVEMOD,LLAVEVIV,LLAVEHOG,N_REN,FOLIO,VIV_SEL,HOGAR,EDAD_V,SEXO,NIV,GRA,PAREN,ENT,TLOC,REGION,P3_2,P3_8,P3_10,P3_11A,P3_11B,P3_12,P3_14,P3_5_5,P4_1,P4_3,P4_10,P4_11,P0_1,P0_2,P0_3,P0_4_2,P1_1,P2_8,P6_2_1,P6_2_2,P6_2_3,P6_2_4,P6_2_5,P6_2_6,P6_2_7,P6_2_8,P6_2_9,P8_1,P8_5_1,P8_5_2,P8_5_3,P12_2,P12_3,P12_4,P13_2_1,P13_2_2,P6_3_1,P6_3_2,P6_3_3,P6_3_4,P6_3_5,P6_3_6,P6_3_7,P6_3_8,P6_3_9,P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_4_5,P6_4_6,P6_4_7,P6_4_8,P6_4_9,delinquent_any,delinquent_count
171213103,171213103,171213,1712131,3,1712,13,1,18,2,3,2,3,17,4,5,6,1,1.0,2100.0,1.0,1.0,1,2,2,2,1,2,1,1,0,2,5,2,1,2,2,2,2,2,2,2,2,2,,,,9,9,3,2,2,1.0,,,,,,,,,1.0,,,,,,,,,1,1
171305101,171305101,171305,1713051,1,1713,5,1,67,2,2,6,1,9,1,4,4,1,5.0,600.0,1.0,2.0,1,1,2,2,1,2,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,2,,,,2,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
171405102,171405102,171405,1714051,2,1714,5,1,42,1,2,4,2,26,4,1,1,1,1.0,2000.0,1.0,1.0,1,1,2,1,1,2,3,7,1,1,3,2,2,2,2,2,2,2,2,2,2,2,,,,3,2,1,1,2,,,,,,,,,,,,,,,,,,,0,0
171511102,171511102,171511,1715111,2,1715,11,1,64,2,3,3,2,25,4,1,5,7,,,,,2,1,2,1,1,2,3,4,1,2,5,1,2,2,2,2,2,2,2,2,2,2,,,,2,1,3,1,2,,,,,,,,,,,,,,,,,,,0,0
171605102,171605102,171605,1716051,2,1716,5,1,54,2,3,3,5,8,1,1,6,1,1.0,2500.0,1.0,1.0,1,1,2,2,3,2,3,4,1,1,3,2,2,2,2,2,2,2,2,2,2,2,,,,2,2,3,2,2,,,,,,,,,,,,,,,,,,,0,0
171703101,171703101,171703,1717031,1,1717,3,1,90,2,0,0,1,29,4,5,4,7,,,,,2,1,2,1,3,2,1,2,0,2,1,0,2,2,2,2,2,2,2,2,2,2,,,,9,9,9,2,2,,,,,,,,,,,,,,,,,,,0,0
171804103,171804103,171804,1718041,3,1718,4,1,20,1,6,2,3,11,1,3,6,1,1.0,3000.0,1.0,1.0,1,1,2,2,1,2,3,4,1,1,7,3,2,2,2,2,2,2,2,2,2,2,,,,2,2,3,2,2,,,,,,,,,,,,,,,,,,,0,0
171910103,171910103,171910,1719101,3,1719,10,1,30,1,8,4,3,17,2,5,6,1,1.0,2000.0,1.0,1.0,1,1,1,1,3,2,2,3,1,1,3,3,2,2,2,2,2,2,2,2,2,1,1.0,2.0,2.0,2,2,2,2,1,,,,,,,,,,,,,,,,,,,0,0
172002102,172002102,172002,1720021,2,1720,2,1,49,2,8,4,3,11,1,3,6,1,1.0,20000.0,3.0,1.0,1,1,1,1,3,2,3,4,2,1,3,2,2,2,2,2,2,2,2,2,2,1,2.0,1.0,2.0,3,1,3,2,1,,,,,,,,,,,,,,,,,,,0,0
172114101,172114101,172114,1721141,1,1721,14,1,48,2,6,3,1,7,2,6,2,1,5.0,3000.0,2.0,2.0,1,1,2,1,8,2,2,4,1,1,2,0,2,2,2,2,2,2,2,2,2,2,,,,3,1,3,1,2,,,,,,,,,,,,,,,,,,,0,0
172207101,172207101,172207,1722071,1,1722,7,1,32,1,3,3,1,7,4,6,1,1,2.0,1500.0,1.0,2.0,1,1,2,2,3,1,1,2,1,1,3,1,2,2,2,2,2,2,2,2,2,2,,,,1,1,3,1,1,,,,,,,,,,,,,,,,,,,0,0
172302101,172302101,172302,1723021,1,1723,2,1,36,1,9,1,1,9,1,4,1,1,5.0,15000.0,3.0,2.0,1,1,1,1,3,2,2,5,2,1,3,1,2,1,2,2,1,2,2,2,2,1,2.0,2.0,1.0,3,1,3,2,1,,2.0,,,2.0,,,,,,,,,,,,,,0,0
172411104,172411104,172411,1724111,4,1724,11,1,18,2,6,3,4,1,2,3,6,1,1.0,4000.0,2.0,1.0,1,1,2,2,1,1,3,5,2,1,5,2,1,2,2,2,2,2,2,2,2,2,,,,9,1,3,2,2,2.0,,,,,,,,,,,,,,,,,,0,0
172513101,172513101,172513,1725131,1,1725,13,1,30,1,3,3,1,24,4,2,5,1,2.0,1200.0,1.0,1.0,1,1,2,1,2,2,2,4,0,1,5,1,2,2,2,2,2,2,2,2,2,2,,,,9,2,3,2,1,,,,,,,,,,,,,,,,,,,0,0
172616102,172616102,172616,1726161,2,1726,16,1,21,1,6,3,3,10,4,1,1,1,2.0,1800.0,1.0,1.0,1,2,2,2,1,2,2,3,1,2,4,1,2,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,1,,,,,,,,,,,,,,,,,,,0,0
172701102,172701102,172701,1727011,2,1727,1,1,30,1,2,6,5,28,1,2,6,1,1.0,1400.0,1.0,1.0,1,1,2,1,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,9,9,9,2,2,,,,,,,,,,,,,,,,,,,0,0
172804101,172804101,172804,1728041,1,1728,4,1,26,2,3,3,1,8,1,1,6,1,1.0,2800.0,1.0,2.0,1,1,2,1,2,2,2,3,1,1,2,1,1,2,2,2,2,2,2,2,2,2,,,,2,1,3,2,1,2.0,,,,,,,,,,,,,,,,,,0,0
172908101,172908101,172908,1729081,1,1729,8,1,48,2,8,4,1,21,3,5,1,1,1.0,9000.0,2.0,1.0,1,1,1,2,5,2,2,3,1,1,4,2,2,2,1,2,2,2,2,2,2,1,1.0,2.0,2.0,9,2,3,2,2,,,2.0,,,,,,,,,,,,,,,,0,0
173001101,173001101,173001,1730011,1,1730,1,1,31,2,6,3,1,27,1,6,6,1,1.0,2000.0,1.0,1.0,1,2,2,1,3,2,2,4,2,2,1,1,2,2,2,2,2,2,2,2,2,2,,,,1,3,3,2,2,,,,,,,,,,,,,,,,,,,0,0
173101102,173101102,173101,1731011,2,1731,1,1,66,1,3,3,2,10,1,1,5,1,5.0,400.0,1.0,2.0,2,1,2,1,1,2,3,5,2,1,5,1,2,2,2,2,2,2,2,2,2,2,,,,9,9,3,2,2,,,,,,,,,,,,,,,,,,,0,0
173220101,173220101,173220,1732201,1,1732,20,1,31,1,3,3,1,23,4,6,1,1,1.0,2000.0,1.0,2.0,1,2,1,1,8,2,1,2,1,2,3,1,2,2,2,2,2,2,2,2,2,1,2.0,2.0,1.0,2,3,3,1,1,,,,,,,,,,,,,,,,,,,0,0
173304104,173304104,173304,1733041,4,1733,4,1,21,2,3,3,4,17,3,5,6,7,1.0,200.0,1.0,2.0,1,2,2,1,1,2,4,9,2,1,5,0,2,2,2,2,2,2,2,2,2,2,,,,8,3,3,2,2,,,,,,,,,,,,,,,,,,,0,0
173417101,173417101,173417,1734171,1,1734,17,1,29,1,2,6,1,24,4,2,5,1,2.0,2200.0,1.0,2.0,1,1,2,2,3,1,2,3,1,1,5,1,1,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,1,2.0,,,,,,,,,,,,,,,,,,0,0
